id;name;city
1;Adana Acıbadem Hastanesi;Adana
2;Adana Acıbadem Hastanesi;Adana
3;Adana Yüreğir Devlet Hastanesi(Servis Almıyor);Adana
4;Adana Medline Hastanesi(Servis Almıyor);Adana
5;Adana Acıbadem Ortopedia Hastanesi;Adana
6;Adana Sehir Hastanesi;Adana
7;Cukurova Universitesi Balcalı Hastanesi;Adana
8;Cukurova Universitesi Balcalı Hastanesi;Adana
9;Besni Devlet Hastanesi;Adiyaman
10;Afyon Kocatepe Uni. A.N. Seker E.A. Has.;Afyon
11;Amasya Sabuncuoglu Serafeddin Devlet Hastanesi;Amasya
12;Ankara Acıbadem;Ankara
13;Ankara Acıbadem;Ankara
14;Ankara Eğitim ve Araştırma Hastanesi;Ankara
15;Ankara Medicana Hastanesi;Ankara
16;Ankara Medicana Hastanesi;Ankara
17;Ankara Uni. Hastanesi Müşterek MSÜ (Cebeci Kampüsü);Ankara
18;Ankara Uni.Kalp Hastanesi (Cebeci Kampüsü);Ankara
19;Ankara Üniversitesi Çocuk Hastanesi (Cebeci Kampüsü);Ankara
20;Ankara Üniversitesi Göz Hastanesi (Cebeci Kampüsü);Ankara
21;Ankara Uni. Ibni sina Hastanesi ;Ankara
22;Ankara Uni. Ibni sina Hastanesi ;Ankara
23;Ankara Üniversitesi İbni Sina;Ankara
24;Başkent Üniversite Hastanesi;Ankara
25;Özel Bayındır Hastanesi;Ankara
26;Gülhane Eğitim ve Araştırma Hastanesi;Ankara
27;Gülhane Eğitim ve Araştırma Hastanesi;Ankara
28;Gülhane Eğitim ve Araştırma Hastanesi (Kalp Damar);Ankara
29;Gülhane Eğitim ve Araştırma Hastanesi;Ankara
30;Güven Çayyolu Sağlık Kampüsü;Ankara
31;Hacettepe Universitesi Hastanesi;Ankara
32;Hacettepe Universitesi Hastanesi;Ankara
33;Hacettepe Universitesi Hastanesi;Ankara
34;Özel Güven Hastanesi Kavaklıdere ;Ankara
35;Polatli Duatepe Devlet Hastanesi;Ankara
36;Tobb ETÜ Eğitim ve Araştırma Hastanesi;Ankara
37;Ulucanlar Goz Egitim ve Arastirma Hastanesi;Ankara
38;Antalya  Eğitim ve araştırma hastanesi ;Antalya
39;Antalya  Eğitim ve araştırma hastanesi ;Antalya
40;Ozel Orbit hastanesi;Antalya
41;Adnan Menderes üni Hastanesi;Aydın
